current,R,G,B
0.051338,0.000,0.416,0.082
0.047890,0.247,0.165,0.000
0.056146,0.498,0.416,0.000
0.047739,0.247,0.165,0.000
0.050748,0.000,0.165,0.333
0.048041,0.247,0.165,0.000
0.052547,0.247,0.000,0.333
0.046847,0.000,0.165,0.082
0.047134,0.000,0.165,0.082
0.046847,0.000,0.165,0.082
0.047436,0.247,0.000,0.082
0.055844,0.498,0.000,0.333
0.046847,0.000,0.165,0.082
0.056146,0.498,0.416,0.000
0.055103,0.498,0.165,0.000
0.055541,0.498,0.000,0.333
0.047436,0.247,0.000,0.082
0.056298,0.498,0.416,0.000
0.052245,0.000,0.416,0.333
0.054649,0.498,0.165,0.000
0.055844,0.498,0.416,0.000
0.056146,0.498,0.416,0.000
0.056146,0.498,0.416,0.000
0.054952,0.498,0.165,0.000
0.051943,0.247,0.000,0.333
0.048041,0.247,0.165,0.000
0.046544,0.000,0.165,0.082
0.052850,0.247,0.000,0.333
0.054952,0.498,0.165,0.000
0.056146,0.498,0.416,0.000
0.053152,0.498,0.000,0.082
0.052245,0.247,0.000,0.333
0.049538,0.000,0.416,0.082
0.046544,0.000,0.165,0.082
0.047134,0.247,0.000,0.082
0.047739,0.247,0.165,0.000
0.055103,0.498,0.165,0.000
0.056146,0.498,0.416,0.000
0.052547,0.247,0.000,0.333
0.052245,0.247,0.000,0.333
0.048646,0.247,0.165,0.000
0.053152,0.498,0.000,0.082
0.053440,0.498,0.000,0.082
0.055541,0.498,0.000,0.333
0.051640,0.000,0.165,0.333
0.055541,0.498,0.000,0.333
0.048344,0.247,0.165,0.000
0.054952,0.498,0.165,0.000
0.052850,0.247,0.000,0.333
0.055254,0.498,0.165,0.000
0.055541,0.498,0.000,0.333
0.054347,0.247,0.416,0.000
0.050748,0.000,0.416,0.333
0.051338,0.000,0.416,0.333
0.046847,0.000,0.165,0.082
0.051338,0.000,0.416,0.082
0.051640,0.000,0.416,0.333
0.051943,0.000,0.416,0.333
0.054649,0.498,0.165,0.000
0.047739,0.247,0.165,0.000
0.052547,0.498,0.000,0.082
0.054952,0.247,0.416,0.000
0.047436,0.247,0.165,0.000
0.047134,0.247,0.000,0.082
0.054649,0.247,0.416,0.000
0.054649,0.498,0.165,0.000
0.047739,0.247,0.165,0.000
0.050143,0.000,0.416,0.082
0.056146,0.498,0.416,0.000
0.054498,0.498,0.165,0.000
0.052245,0.247,0.000,0.333
0.046544,0.000,0.165,0.082
0.047436,0.247,0.165,0.000
0.051640,0.000,0.416,0.333
0.052245,0.247,0.000,0.333
0.051338,0.000,0.416,0.082
0.050143,0.000,0.416,0.082
0.051338,0.000,0.416,0.333
0.054649,0.498,0.165,0.000
0.047588,0.247,0.000,0.082
0.047739,0.247,0.165,0.000
0.053440,0.498,0.000,0.082
0.054649,0.498,0.165,0.000
0.047134,0.247,0.000,0.082
0.054952,0.498,0.165,0.000
0.051338,0.000,0.165,0.333
0.053440,0.247,0.000,0.333
0.051640,0.000,0.416,0.333
0.054649,0.498,0.165,0.000
0.050445,0.000,0.416,0.082
0.052245,0.247,0.000,0.333
0.048041,0.247,0.165,0.000
0.054952,0.247,0.416,0.000
0.052547,0.247,0.000,0.333
0.051050,0.000,0.165,0.333
0.056146,0.498,0.416,0.000
0.055844,0.498,0.000,0.333
0.050445,0.000,0.416,0.082
0.051943,0.247,0.000,0.333
0.052850,0.247,0.000,0.333
0.051943,0.247,0.000,0.333
0.047134,0.247,0.000,0.082
0.056146,0.498,0.416,0.000
0.055541,0.498,0.000,0.333
0.050445,0.000,0.165,0.333
0.049538,0.000,0.416,0.082
0.051943,0.247,0.000,0.333
0.054952,0.498,0.165,0.000
0.056146,0.498,0.416,0.000
0.051640,0.000,0.416,0.333
0.051943,0.000,0.416,0.333
0.056146,0.498,0.416,0.000
0.047436,0.247,0.165,0.000
0.051338,0.000,0.416,0.082
0.051338,0.000,0.416,0.333
0.050748,0.000,0.416,0.082
0.046242,0.000,0.165,0.082
0.053296,0.498,0.000,0.082
0.052850,0.498,0.000,0.082
0.055541,0.498,0.000,0.333
0.046847,0.000,0.165,0.082
0.053440,0.498,0.000,0.082
0.055844,0.498,0.000,0.333
0.054952,0.498,0.165,0.000
0.054952,0.498,0.165,0.000
0.052245,0.247,0.000,0.333
0.047134,0.000,0.165,0.082
0.051050,0.000,0.416,0.082
0.055541,0.498,0.000,0.333
0.047134,0.000,0.165,0.082
0.056146,0.498,0.416,0.000
0.046544,0.000,0.165,0.082
0.048041,0.247,0.165,0.000
0.054649,0.498,0.165,0.000
0.052547,0.247,0.000,0.333
0.054649,0.498,0.165,0.000
0.047436,0.247,0.165,0.000
0.055541,0.498,0.000,0.333
0.054952,0.498,0.165,0.000
0.052094,0.000,0.416,0.333
0.053742,0.247,0.416,0.000
0.051338,0.000,0.416,0.333
0.054347,0.247,0.416,0.000
0.054649,0.498,0.165,0.000
0.047436,0.247,0.000,0.082
0.046544,0.000,0.165,0.082
0.050748,0.000,0.416,0.082
0.053001,0.247,0.000,0.333
0.050748,0.000,0.416,0.082
0.054952,0.498,0.165,0.000
0.052245,0.247,0.000,0.333
0.054649,0.247,0.416,0.000
0.046847,0.000,0.165,0.082
0.046847,0.000,0.165,0.082
0.051338,0.000,0.416,0.333
0.047134,0.247,0.000,0.082
0.051640,0.000,0.416,0.333
0.054649,0.498,0.165,0.000
0.049841,0.000,0.165,0.333
0.054649,0.247,0.416,0.000
0.047134,0.247,0.000,0.082
0.050748,0.000,0.416,0.082
0.046847,0.000,0.165,0.082
0.055844,0.498,0.000,0.333
0.052850,0.247,0.000,0.333
0.051050,0.000,0.165,0.333
0.046544,0.000,0.165,0.082
0.048041,0.247,0.165,0.000
0.054952,0.247,0.416,0.000
0.050143,0.000,0.416,0.082
0.054649,0.498,0.165,0.000
0.052245,0.247,0.000,0.333
0.050445,0.000,0.165,0.333
0.047436,0.247,0.000,0.082
0.052850,0.498,0.000,0.082
0.051194,0.000,0.416,0.082
0.050445,0.000,0.165,0.333
0.048344,0.247,0.165,0.000
0.054952,0.247,0.416,0.000
0.051640,0.247,0.000,0.333
0.053440,0.498,0.000,0.082
0.048041,0.247,0.165,0.000
0.051640,0.000,0.416,0.333
0.050143,0.000,0.165,0.333
0.056146,0.498,0.416,0.000
0.047134,0.247,0.000,0.082
0.056146,0.498,0.416,0.000
0.056146,0.498,0.416,0.000
0.046847,0.000,0.165,0.082
0.047134,0.247,0.000,0.082
0.046544,0.000,0.165,0.082
0.055844,0.498,0.000,0.333
0.052396,0.247,0.000,0.333
0.047134,0.247,0.000,0.082
0.055844,0.498,0.416,0.000
0.050445,0.000,0.416,0.082
0.054649,0.498,0.165,0.000
0.049538,0.000,0.416,0.082
0.047436,0.247,0.165,0.000
0.055541,0.498,0.000,0.333
0.053440,0.498,0.000,0.082
0.055541,0.498,0.000,0.333
0.055541,0.498,0.000,0.333
0.050748,0.000,0.416,0.333
0.054347,0.498,0.165,0.000
0.047739,0.247,0.165,0.000
0.054649,0.247,0.416,0.000
0.047739,0.247,0.165,0.000
0.050143,0.000,0.165,0.333
0.051050,0.000,0.416,0.082
0.051640,0.000,0.165,0.333
0.050143,0.000,0.165,0.333
0.053152,0.498,0.000,0.082
0.047739,0.247,0.000,0.082
0.048041,0.247,0.165,0.000
0.049538,0.000,0.416,0.082
0.052850,0.247,0.000,0.333
0.051640,0.000,0.165,0.333
0.051338,0.000,0.416,0.082
0.056146,0.498,0.416,0.000
0.053152,0.498,0.000,0.082
0.047890,0.247,0.165,0.000
0.054649,0.247,0.416,0.000
0.048344,0.247,0.165,0.000
0.051640,0.000,0.416,0.082
0.054347,0.247,0.416,0.000
0.054649,0.498,0.165,0.000
0.050748,0.000,0.165,0.333
0.054347,0.247,0.416,0.000
0.050445,0.000,0.165,0.333
0.051338,0.000,0.416,0.082
0.046847,0.000,0.165,0.082
0.052547,0.498,0.000,0.082
0.054649,0.247,0.416,0.000
0.055844,0.498,0.416,0.000
0.051338,0.000,0.416,0.333
0.052699,0.247,0.000,0.333
0.054649,0.498,0.165,0.000
0.047739,0.247,0.165,0.000
0.046847,0.000,0.165,0.082
0.056146,0.498,0.416,0.000
0.051338,0.000,0.416,0.333
0.054649,0.498,0.165,0.000
0.054952,0.498,0.165,0.000
0.046544,0.000,0.165,0.082
0.054649,0.247,0.416,0.000
0.054347,0.247,0.416,0.000
0.055541,0.498,0.000,0.333
0.055541,0.498,0.000,0.333
0.046544,0.000,0.165,0.082
0.052245,0.247,0.000,0.333
0.055254,0.498,0.000,0.333
0.051338,0.000,0.165,0.333
0.054649,0.498,0.165,0.000
0.046847,0.000,0.165,0.082
0.053440,0.498,0.000,0.082
0.051050,0.000,0.165,0.333
0.054649,0.247,0.416,0.000
0.053152,0.498,0.000,0.082
0.051338,0.000,0.416,0.333
0.046847,0.000,0.165,0.082
0.050748,0.000,0.165,0.333
0.050445,0.000,0.416,0.333
0.051338,0.000,0.416,0.082
0.050748,0.000,0.165,0.333
0.049841,0.000,0.416,0.082
0.053152,0.498,0.000,0.082
0.052850,0.498,0.000,0.082
0.052547,0.247,0.000,0.333
0.053296,0.498,0.000,0.082
0.051943,0.247,0.000,0.333
0.055541,0.498,0.000,0.333
0.050445,0.000,0.165,0.333
0.047436,0.247,0.000,0.082
0.055541,0.498,0.000,0.333
0.055844,0.498,0.416,0.000
0.052850,0.247,0.000,0.333
0.054649,0.498,0.165,0.000
0.052245,0.247,0.000,0.333
0.055254,0.498,0.000,0.333
0.051050,0.000,0.416,0.333
0.046544,0.000,0.165,0.082
0.054649,0.498,0.165,0.000
0.048041,0.247,0.165,0.000
0.047436,0.247,0.000,0.082
0.053296,0.498,0.000,0.082
0.052547,0.247,0.000,0.333
0.046847,0.000,0.165,0.082
0.052547,0.247,0.000,0.333
0.050445,0.000,0.165,0.333
0.049538,0.000,0.416,0.082
0.056146,0.498,0.416,0.000
0.046544,0.000,0.165,0.082
0.054649,0.498,0.165,0.000
0.056146,0.498,0.416,0.000
0.054649,0.247,0.416,0.000
0.055844,0.498,0.416,0.000
0.047436,0.247,0.000,0.082
0.055844,0.498,0.416,0.000
0.046847,0.000,0.165,0.082
0.052245,0.247,0.000,0.333
0.054649,0.498,0.165,0.000
0.051640,0.000,0.416,0.333
0.051640,0.247,0.000,0.333
0.050748,0.000,0.416,0.082
0.055541,0.498,0.000,0.333
0.054649,0.247,0.416,0.000
0.051194,0.000,0.416,0.333
0.047285,0.247,0.000,0.082
0.051050,0.000,0.416,0.333
0.047588,0.247,0.000,0.082
0.053152,0.498,0.000,0.082
0.053152,0.498,0.000,0.082
0.054800,0.247,0.416,0.000
0.048041,0.247,0.165,0.000
0.050445,0.000,0.416,0.082
0.055541,0.498,0.000,0.333
0.053742,0.498,0.000,0.082
0.049538,0.000,0.416,0.082
0.053440,0.498,0.000,0.082
0.052547,0.247,0.000,0.333
0.054952,0.498,0.165,0.000
0.056146,0.498,0.416,0.000
0.050445,0.000,0.165,0.333
0.046544,0.000,0.165,0.082
0.050748,0.000,0.416,0.082
0.051050,0.000,0.416,0.333
0.054347,0.247,0.416,0.000
0.050748,0.000,0.165,0.333
0.052245,0.247,0.000,0.333
0.054498,0.247,0.416,0.000
0.051640,0.247,0.000,0.333
0.050748,0.000,0.165,0.333
0.047134,0.247,0.000,0.082
0.051194,0.000,0.416,0.082
0.050445,0.000,0.416,0.333
0.046544,0.000,0.165,0.082
0.046544,0.000,0.165,0.082
0.047739,0.247,0.165,0.000
0.054649,0.247,0.416,0.000
0.052699,0.498,0.000,0.082
0.050748,0.000,0.165,0.333
0.050748,0.000,0.416,0.082
0.047436,0.247,0.000,0.082
0.046847,0.000,0.165,0.082
0.054649,0.498,0.165,0.000
0.055541,0.498,0.000,0.333
0.055541,0.498,0.000,0.333
0.049841,0.000,0.416,0.333
0.050899,0.000,0.165,0.333
0.055844,0.498,0.416,0.000
0.050748,0.000,0.416,0.082
0.047436,0.247,0.000,0.082
0.052547,0.247,0.000,0.333
0.052850,0.247,0.000,0.333
0.051640,0.000,0.416,0.333
0.050445,0.000,0.165,0.333
0.050143,0.000,0.416,0.082
0.056146,0.498,0.416,0.000
0.051791,0.247,0.000,0.333
0.055254,0.498,0.000,0.333
0.047739,0.247,0.165,0.000
0.054347,0.247,0.416,0.000
0.054800,0.498,0.165,0.000
0.047739,0.247,0.165,0.000
0.054649,0.247,0.416,0.000
0.046847,0.000,0.165,0.082
0.055541,0.498,0.000,0.333
0.052850,0.498,0.000,0.082
0.055541,0.498,0.000,0.333
0.056146,0.498,0.416,0.000
0.054649,0.247,0.416,0.000
0.047436,0.247,0.165,0.000
0.053440,0.498,0.000,0.082
0.050143,0.000,0.416,0.333
0.054952,0.498,0.165,0.000
0.053152,0.498,0.000,0.082
0.049538,0.000,0.416,0.082
0.053742,0.247,0.416,0.000
0.050445,0.000,0.416,0.333
0.050445,0.000,0.165,0.333
0.055844,0.498,0.416,0.000
0.056146,0.498,0.416,0.000
0.054952,0.247,0.416,0.000
0.050748,0.000,0.416,0.082
0.047134,0.000,0.165,0.082
0.046544,0.000,0.165,0.082
0.052547,0.247,0.000,0.333
0.055541,0.498,0.000,0.333
0.047436,0.247,0.165,0.000
0.051050,0.000,0.165,0.333
0.050445,0.000,0.165,0.333
0.049538,0.000,0.416,0.082
0.047134,0.247,0.000,0.082
0.051050,0.000,0.416,0.333
0.055844,0.498,0.416,0.000
0.053440,0.498,0.000,0.082
0.054649,0.498,0.165,0.000
0.051050,0.000,0.416,0.082
0.054952,0.498,0.165,0.000
0.047739,0.247,0.165,0.000
0.054952,0.498,0.165,0.000
0.051050,0.000,0.416,0.333
0.055844,0.498,0.416,0.000
0.053440,0.498,0.000,0.082
0.047436,0.247,0.165,0.000
0.056146,0.498,0.416,0.000
0.056146,0.498,0.416,0.000
0.053440,0.498,0.000,0.082
0.047436,0.247,0.165,0.000
0.055844,0.498,0.416,0.000
0.047134,0.247,0.000,0.082
0.046847,0.000,0.165,0.082
0.051338,0.000,0.165,0.333
0.051338,0.000,0.416,0.333
0.051640,0.000,0.416,0.333
0.048344,0.247,0.165,0.000
0.046544,0.000,0.165,0.082
0.052245,0.247,0.000,0.333
0.055254,0.498,0.000,0.333
0.048041,0.247,0.165,0.000
0.055844,0.498,0.416,0.000
0.051943,0.247,0.000,0.333
0.054800,0.498,0.165,0.000
0.051338,0.000,0.416,0.082
0.047436,0.247,0.000,0.082
0.051791,0.000,0.416,0.333
0.050899,0.000,0.165,0.333
0.055541,0.498,0.000,0.333
0.055844,0.498,0.416,0.000
0.056146,0.498,0.416,0.000
0.047739,0.247,0.165,0.000
0.051640,0.247,0.000,0.333
0.047890,0.247,0.165,0.000
0.047134,0.247,0.000,0.082
0.048041,0.247,0.165,0.000
0.054649,0.498,0.165,0.000
0.054649,0.247,0.416,0.000
0.047436,0.247,0.000,0.082
0.055541,0.498,0.000,0.333
0.051194,0.000,0.416,0.333
0.054952,0.498,0.165,0.000
0.050597,0.000,0.416,0.082
0.052850,0.000,0.416,0.333
0.053152,0.498,0.000,0.082
0.051050,0.000,0.416,0.082
0.050143,0.000,0.416,0.082
0.056146,0.498,0.416,0.000
0.049841,0.000,0.165,0.333
0.047739,0.247,0.165,0.000
0.052699,0.498,0.000,0.082
0.055844,0.498,0.416,0.000
0.051640,0.000,0.165,0.333
0.047285,0.247,0.165,0.000
0.050748,0.000,0.416,0.333
0.051640,0.000,0.416,0.333
0.055254,0.498,0.000,0.333
0.046544,0.000,0.165,0.082
0.055541,0.498,0.000,0.333
0.047739,0.247,0.165,0.000
0.047436,0.247,0.000,0.082
0.049538,0.000,0.416,0.082
0.046242,0.000,0.165,0.082
0.047134,0.247,0.000,0.082
0.056146,0.498,0.416,0.000
0.047436,0.247,0.000,0.082
0.054649,0.247,0.416,0.000
0.051338,0.000,0.416,0.333
0.054649,0.498,0.165,0.000
0.051050,0.000,0.416,0.333
0.054347,0.498,0.165,0.000
0.053440,0.498,0.000,0.082
0.055541,0.498,0.000,0.333
0.051640,0.000,0.416,0.333
0.051050,0.000,0.416,0.333
0.054347,0.498,0.165,0.000
0.046544,0.000,0.165,0.082
0.054952,0.498,0.165,0.000
0.050899,0.000,0.416,0.082
0.050748,0.000,0.416,0.082
0.054952,0.498,0.165,0.000
0.052699,0.498,0.000,0.082
0.055541,0.498,0.000,0.333
0.051640,0.000,0.416,0.082
0.052245,0.247,0.000,0.333
0.047436,0.247,0.165,0.000
0.051640,0.000,0.416,0.333
0.048344,0.247,0.165,0.000
0.047134,0.247,0.000,0.082
0.053152,0.498,0.000,0.082
0.050143,0.000,0.416,0.333
0.047436,0.247,0.000,0.082
0.054347,0.247,0.416,0.000
0.053440,0.498,0.000,0.082
0.055541,0.498,0.000,0.333
0.056146,0.498,0.416,0.000
0.047436,0.247,0.165,0.000
0.053152,0.498,0.000,0.082
0.055541,0.498,0.000,0.333
0.051489,0.000,0.416,0.333
0.047739,0.247,0.000,0.082
0.053152,0.498,0.000,0.082
0.055844,0.498,0.416,0.000
0.046847,0.247,0.000,0.082
0.046847,0.000,0.165,0.082
0.051050,0.000,0.416,0.333
0.049538,0.000,0.416,0.082
0.054347,0.247,0.416,0.000
0.054347,0.247,0.416,0.000
0.056146,0.498,0.416,0.000
0.055844,0.498,0.416,0.000
0.047134,0.247,0.000,0.082
0.051943,0.247,0.000,0.333
0.047588,0.247,0.165,0.000
0.052850,0.247,0.000,0.333
0.047134,0.247,0.000,0.082
0.051050,0.000,0.416,0.082
0.055541,0.498,0.000,0.333
0.050748,0.000,0.416,0.082
0.053742,0.247,0.416,0.000
0.051640,0.000,0.416,0.333
0.052245,0.247,0.000,0.333
0.051050,0.000,0.165,0.333
0.055541,0.498,0.000,0.333
0.052245,0.247,0.000,0.333
0.046544,0.000,0.165,0.082
0.053152,0.498,0.000,0.082
0.047134,0.247,0.000,0.082
0.051943,0.247,0.000,0.333
0.051338,0.000,0.416,0.333
0.052245,0.000,0.416,0.333
0.054649,0.498,0.165,0.000
0.047739,0.247,0.165,0.000
0.050748,0.000,0.416,0.333
0.050294,0.000,0.416,0.082
0.051338,0.000,0.416,0.333
0.054649,0.498,0.165,0.000
0.047739,0.247,0.165,0.000
0.053440,0.498,0.000,0.082
0.050748,0.000,0.165,0.333
0.048041,0.247,0.165,0.000
0.051943,0.000,0.416,0.333
0.054347,0.498,0.165,0.000
0.052547,0.247,0.000,0.333
0.054347,0.247,0.416,0.000
0.055541,0.498,0.000,0.333
0.052245,0.247,0.000,0.333
0.054347,0.247,0.416,0.000
0.054347,0.247,0.416,0.000
0.047739,0.247,0.165,0.000
0.055844,0.498,0.416,0.000
0.054952,0.247,0.416,0.000
0.053152,0.247,0.000,0.333
0.047134,0.247,0.165,0.000
0.051640,0.247,0.000,0.333
0.046242,0.000,0.165,0.082
0.046544,0.000,0.165,0.082
0.055844,0.498,0.416,0.000
0.053440,0.498,0.000,0.082
0.055541,0.498,0.000,0.333
0.055844,0.498,0.416,0.000
0.053440,0.498,0.000,0.082
0.047436,0.247,0.000,0.082
0.055541,0.498,0.000,0.333
0.054347,0.247,0.416,0.000
0.054952,0.498,0.165,0.000
0.052245,0.247,0.000,0.333
0.054952,0.498,0.165,0.000
0.050143,0.000,0.165,0.333
0.054347,0.247,0.416,0.000
0.048344,0.247,0.165,0.000
0.053152,0.498,0.000,0.082
0.047739,0.247,0.165,0.000
0.052547,0.247,0.000,0.333
0.051050,0.000,0.416,0.333
0.050445,0.000,0.165,0.333
0.047436,0.247,0.000,0.082
0.055254,0.498,0.000,0.333
0.047134,0.247,0.000,0.082
0.054347,0.247,0.416,0.000
0.051338,0.000,0.165,0.333
0.054649,0.498,0.165,0.000
0.051050,0.000,0.416,0.082
0.051640,0.000,0.416,0.333
0.053152,0.498,0.000,0.082
0.053440,0.498,0.000,0.082
0.052245,0.000,0.416,0.333
0.056146,0.498,0.416,0.000
0.047739,0.247,0.165,0.000
0.054347,0.247,0.416,0.000
0.047134,0.247,0.000,0.082
0.051338,0.247,0.000,0.333
0.051194,0.000,0.165,0.333
0.054952,0.498,0.165,0.000
0.051050,0.000,0.416,0.082
0.048041,0.247,0.165,0.000
0.055541,0.498,0.000,0.333
0.055844,0.498,0.416,0.000
0.055541,0.498,0.000,0.333
0.046544,0.000,0.165,0.082
0.053152,0.498,0.000,0.082
0.055541,0.498,0.000,0.333
0.050143,0.000,0.416,0.082
0.054952,0.498,0.165,0.000
0.047134,0.247,0.000,0.082
0.046847,0.000,0.165,0.082
0.050597,0.000,0.416,0.082
0.054347,0.498,0.165,0.000
0.055541,0.498,0.000,0.333
0.055844,0.498,0.416,0.000
0.056146,0.498,0.416,0.000
0.051640,0.247,0.000,0.333
0.054347,0.247,0.416,0.000
0.051338,0.000,0.416,0.333
0.051050,0.000,0.165,0.333
0.046847,0.000,0.165,0.082
0.050294,0.000,0.165,0.333
0.051943,0.247,0.000,0.333
0.053152,0.498,0.000,0.082
0.054649,0.247,0.416,0.000
0.051338,0.000,0.416,0.333
0.054649,0.498,0.165,0.000
0.047739,0.247,0.165,0.000
0.051338,0.000,0.416,0.333
0.047739,0.247,0.165,0.000
0.047134,0.247,0.000,0.082
0.051338,0.000,0.416,0.333
0.048041,0.247,0.165,0.000
0.052850,0.498,0.000,0.082
0.047134,0.247,0.165,0.000
0.047134,0.247,0.165,0.000
0.050143,0.000,0.165,0.333
0.047436,0.247,0.000,0.082
0.054649,0.498,0.165,0.000
0.055541,0.498,0.000,0.333
0.054347,0.498,0.165,0.000
0.054498,0.498,0.165,0.000
0.047436,0.247,0.165,0.000
0.050445,0.000,0.165,0.333
0.046544,0.000,0.165,0.082
0.050748,0.000,0.165,0.333
0.055541,0.498,0.000,0.333
0.054649,0.498,0.165,0.000
0.050748,0.000,0.416,0.333
0.056146,0.498,0.416,0.000
0.047134,0.247,0.165,0.000
0.047436,0.247,0.165,0.000
0.051050,0.000,0.416,0.082
0.054649,0.498,0.165,0.000
0.050445,0.000,0.416,0.082
0.050748,0.000,0.165,0.333
0.046847,0.000,0.165,0.082
0.050748,0.000,0.416,0.082
0.052245,0.247,0.000,0.333
0.054952,0.498,0.165,0.000
0.055254,0.498,0.000,0.333
0.055541,0.498,0.000,0.333
0.050294,0.000,0.416,0.333
0.055844,0.498,0.416,0.000
0.046544,0.000,0.165,0.082
0.052094,0.000,0.416,0.333
0.050445,0.000,0.416,0.333
0.052547,0.247,0.000,0.333
0.047436,0.247,0.165,0.000
0.047134,0.247,0.000,0.082
0.051338,0.000,0.165,0.333
0.047739,0.247,0.165,0.000
0.054649,0.247,0.416,0.000
0.054649,0.247,0.416,0.000
0.050143,0.000,0.165,0.333
0.054952,0.498,0.165,0.000
0.051338,0.000,0.416,0.333
0.056146,0.498,0.416,0.000
0.054347,0.498,0.165,0.000
0.051338,0.000,0.416,0.333
0.054649,0.247,0.416,0.000
0.055844,0.498,0.416,0.000
0.048041,0.247,0.165,0.000
0.047739,0.247,0.165,0.000
0.047739,0.247,0.165,0.000
0.050438,0.000,0.165,0.333
0.047436,0.247,0.000,0.082
0.053001,0.498,0.000,0.082
0.055541,0.498,0.000,0.333
0.047134,0.247,0.000,0.082
0.049841,0.000,0.416,0.082
0.049236,0.000,0.165,0.333
0.054649,0.498,0.165,0.000
0.053152,0.247,0.000,0.333
0.052245,0.247,0.000,0.333
0.053742,0.498,0.165,0.000
0.051338,0.000,0.416,0.333
0.054649,0.247,0.416,0.000
0.051640,0.247,0.000,0.333
0.053001,0.498,0.000,0.082
0.051943,0.000,0.416,0.333
0.051338,0.000,0.416,0.082
0.051489,0.000,0.416,0.333
0.047436,0.247,0.000,0.082
0.050899,0.000,0.416,0.082
0.055844,0.498,0.416,0.000
0.055844,0.498,0.416,0.000
0.047134,0.247,0.000,0.082
0.047134,0.247,0.000,0.082
0.047134,0.000,0.165,0.082
0.055844,0.498,0.000,0.333
0.047134,0.247,0.165,0.000
0.050143,0.000,0.165,0.333
0.046544,0.000,0.165,0.082
0.051640,0.247,0.000,0.333
0.055844,0.498,0.416,0.000
0.056146,0.498,0.416,0.000
0.052547,0.247,0.000,0.333
0.052547,0.498,0.000,0.082
0.050445,0.000,0.416,0.082
0.051338,0.000,0.165,0.333
0.054952,0.247,0.416,0.000
0.051640,0.000,0.416,0.333
0.055844,0.498,0.416,0.000
0.050899,0.000,0.416,0.082
0.051338,0.000,0.416,0.333
0.051050,0.000,0.416,0.333
0.053742,0.498,0.165,0.000
0.049538,0.000,0.416,0.082
0.055844,0.498,0.416,0.000
0.055844,0.498,0.416,0.000
0.054347,0.247,0.416,0.000
0.051050,0.000,0.416,0.333
0.055844,0.498,0.416,0.000
0.047436,0.247,0.165,0.000
0.054347,0.247,0.416,0.000
0.054347,0.247,0.416,0.000
0.047739,0.247,0.165,0.000
0.054649,0.498,0.165,0.000
0.051050,0.000,0.416,0.333
0.050748,0.000,0.416,0.082
0.054347,0.247,0.416,0.000
0.052245,0.498,0.000,0.082
0.055844,0.498,0.416,0.000
0.054649,0.247,0.416,0.000
0.054649,0.498,0.165,0.000
0.053152,0.498,0.000,0.082
0.054649,0.498,0.165,0.000
0.050899,0.000,0.416,0.082
0.052245,0.247,0.000,0.333
0.052245,0.247,0.000,0.333
0.055541,0.498,0.416,0.000
0.047134,0.247,0.000,0.082
0.050445,0.000,0.165,0.333
0.053152,0.498,0.000,0.082
0.052547,0.247,0.000,0.333
0.046242,0.000,0.165,0.082
0.051338,0.000,0.165,0.333
0.047134,0.247,0.165,0.000
0.046847,0.000,0.165,0.082
0.046847,0.000,0.165,0.082
0.053152,0.498,0.000,0.082
0.051338,0.000,0.416,0.333
0.053440,0.247,0.416,0.000
0.047436,0.247,0.165,0.000
0.054649,0.498,0.165,0.000
0.052547,0.247,0.000,0.333
0.046544,0.000,0.165,0.082
0.052547,0.247,0.000,0.333
0.052245,0.247,0.000,0.333
0.052245,0.247,0.000,0.333
0.052245,0.247,0.000,0.333
0.051338,0.000,0.416,0.333
0.052850,0.498,0.000,0.082
0.054649,0.498,0.165,0.000
0.050445,0.000,0.416,0.082
0.051640,0.000,0.416,0.333
0.047436,0.247,0.000,0.082
0.055844,0.498,0.416,0.000
0.054649,0.498,0.165,0.000
0.054347,0.247,0.416,0.000
0.054649,0.247,0.416,0.000
0.050748,0.000,0.165,0.333
0.050597,0.000,0.416,0.082
0.054649,0.247,0.416,0.000
0.047134,0.247,0.000,0.082
0.054952,0.498,0.165,0.000
0.050445,0.000,0.165,0.333
0.055541,0.498,0.000,0.333
0.052850,0.498,0.000,0.082
0.052547,0.498,0.000,0.082
0.050143,0.000,0.165,0.333
0.054347,0.247,0.416,0.000
0.051050,0.000,0.416,0.333
0.046695,0.000,0.165,0.082
0.050445,0.000,0.416,0.082
0.049538,0.000,0.416,0.333
0.053152,0.498,0.000,0.082
0.054347,0.247,0.416,0.000
0.055844,0.498,0.416,0.000
0.050748,0.000,0.416,0.082
0.051791,0.247,0.000,0.333
0.051338,0.000,0.416,0.082
0.051338,0.000,0.416,0.333
0.055254,0.498,0.000,0.333
0.055844,0.498,0.416,0.000
0.054649,0.498,0.165,0.000
0.051640,0.000,0.416,0.333
0.054347,0.498,0.165,0.000
0.046544,0.000,0.165,0.082
0.054498,0.498,0.165,0.000
0.051338,0.000,0.416,0.333
0.049538,0.000,0.165,0.333
0.048041,0.247,0.165,0.000
0.047436,0.247,0.165,0.000
0.050143,0.000,0.165,0.333
0.047739,0.247,0.165,0.000
0.052245,0.247,0.000,0.333
0.047739,0.247,0.165,0.000
0.051338,0.000,0.416,0.082
0.055541,0.498,0.000,0.333
0.046242,0.000,0.165,0.082
0.049538,0.000,0.416,0.082
0.055844,0.498,0.416,0.000
0.047436,0.247,0.165,0.000
0.053152,0.498,0.000,0.082
0.053440,0.498,0.000,0.082
0.053152,0.498,0.000,0.082
